Local_Y,Local_X,v_Vel,phi,steer
-0.2924207170647306,-0.16347662125987347,0.01,0.09610045515732547,0.9544007778167725
-0.2849418712480583,-0.15683833343465506,0.01,0.18230670603959542,0.8796173930168152
-0.2775282869908043,-0.15012724049381487,0.01,0.2588103265510148,0.8017924427986145
-0.2701541272127222,-0.14337285173040215,0.01,0.3260815646639341,0.7229605913162231
-0.26279042666143787,-0.1366070617402373,0.01,0.38456624169895265,0.6431652307510376
-0.2554193288628286,-0.1298493315559715,0.01,0.4349439149766666,0.5651859641075134
-0.24802342897542395,-0.12311875469692829,0.01,0.47786622796793427,0.48973503708839417
-0.24059289043808887,-0.11642643842786433,0.01,0.5140890256148741,0.41895368695259094
-0.23316918017787963,-0.10972654843082229,0.01,0.5453725853454422,0.3650643527507782
-0.22573294807796657,-0.10304055918791868,0.01,0.5719817739195691,0.31283777952194214
-0.218265941174291,-0.09638895728307943,0.01,0.5941717792756721,0.2624736428260803
-0.21075117920018113,-0.08979135525867142,0.01,0.612188377374255,0.21413922309875488
-0.20317311097831395,-0.08326656545173305,0.01,0.6262686503524367,0.16797170042991638
-0.19551774606598432,-0.07683264067294737,0.01,0.6366418872287605,0.12407992780208588
-0.18777275947376174,-0.0705068851697452,0.01,0.6435305288638248,0.08254639804363251
-0.17992756784074193,-0.0643058394320332,0.01,0.6471510653028751,0.04342936724424362
-0.1719733776828283,-0.058245240539865045,0.01,0.6477148670172729,0.006765556056052446
-0.16390320020731286,-0.052339968699070316,0.01,0.6454287952406903,-0.027428561821579933
-0.1557118394352304,-0.046603976308769515,0.01,0.640495738601611,-0.05915353447198868
-0.1473958474800162,-0.041050213818276025,0.01,0.633114893951466,-0.08842591941356659
-0.13895345471468531,-0.035690549239602395,0.01,0.6234819558656958,-0.11527547985315323
-0.1303844731732383,-0.030535691788388004,0.01,0.6117891189154945,-0.13974381983280182
-0.12169017744612214,-0.02559512281210103,0.01,0.5982249407184542,-0.16188280284404755
-0.11287316746518422,-0.020877036865868046,0.01,0.5829741052513643,-0.18175290524959564
-0.10393721739604404,-0.016388295799395883,0.01,0.5662171111928721,-0.1994217038154602
-0.09488711379778075,-0.012134400542022715,0.01,0.5481298680111157,-0.21496298909187317
-0.08572848872681428,-0.008119480018592102,0.01,0.528883258982669,-0.22845558822155
-0.07646765216381934,-0.004346297521879786,0.01,0.5086426936630639,-0.23998230695724487
-0.06711142790834534,-0.0008162737710701719,0.01,0.48756767441080323,-0.2496289312839508
-0.05766699495719527,0.002470470245617252,0.01,0.4658113294237447,-0.2574840784072876
-0.04814174067453944,0.005515060669754277,0.01,0.4435200621436833,-0.26363757252693176
-0.038543123659171626,0.008319797982283106,0.01,0.4208331285893396,-0.2681812047958374
-0.028878553153664617,0.01088808086080019,0.01,0.3978823861480028,-0.2712068557739258
-0.01915528229319806,0.013224317957929221,0.01,0.374792035719787,-0.2728067934513092
-0.009380317256510614,0.015333834142161523,0.01,0.35167843208449734,-0.2730731964111328
0.000439657701378696,0.017222773481162874,0.01,0.3286499620961636,-0.27209773659706116
0.010298339833351398,0.018898000815205086,0.01,0.3058069851692427,-0.26997125148773193
0.020189852551293082,0.020367005972036726,0.01,0.28324186479929814,-0.26678308844566345
0.03010877737271018,0.021637805085616767,0.01,0.2610389805281124,-0.2626217007637024
0.040050172601641704,0.022718851292851935,0.01,0.2392748839243945,-0.25757333636283875
0.05000958181037685,0.023618944739645917,0.01,0.2180184210827923,-0.2517227232456207
0.05998303230010596,0.02434715166691473,0.01,0.19733095630831343,-0.24515216052532196
0.0699670257428468,0.02491272653844625,0.01,0.17726658904362316,-0.23794180154800415
0.07995801727654239,0.025337094508046852,0.01,0.15804376223795993,-0.22817932069301605
0.08995373512245289,0.02562971157000069,0.01,0.13967895174181766,-0.21819783747196198
0.09995229930090102,0.025799164718256246,0.01,0.12217341743031503,-0.20817455649375916
0.10995214434080125,0.025854834979464007,0.01,0.10553914334415172,-0.19798487424850464
0.11995202001054174,0.02580496926246045,0.01,0.08977000061758642,-0.1878415048122406
0.1299509332819972,0.025657546774651686,0.01,0.07485672256640419,-0.1777830570936203
0.1399481186787944,0.025420303983265693,0.01,0.06078777196723642,-0.1678382009267807
0.1499431950878499,0.025106540414408286,0.01,0.04763247365232284,-0.15705350041389465
0.1599362417883764,0.02473368971895998,0.01,0.03550934627845741,-0.14484244585037231
0.16992718778823582,0.024308251088963697,0.01,0.024364186988754387,-0.13324770331382751
0.1799160454989786,0.023836317158700042,0.01,0.014144668769183398,-0.1222526952624321
0.1899028922333202,0.023323586913082735,0.01,0.004800273017453087,-0.11184074729681015
0.19988785458401198,0.022775383615694672,0.01,-0.0037177016986741605,-0.10199429839849472
0.20987109508540874,0.022196670309064095,0.01,-0.011456170486631344,-0.09269547462463379
0.21985280099126311,0.021592065306577306,0.01,-0.01846029135860794,-0.08392616361379623
0.2298331749341348,0.020965857704860452,0.01,-0.024773491840418986,-0.07566806674003601
0.23981242728081192,0.0203220234083685,0.01,-0.030437485672858946,-0.06790265440940857
0.24979076986255364,0.01966423976506313,0.01,-0.03549230775532213,-0.06061144918203354
0.2597684109572551,0.018995899892449885,0.01,-0.039976348966457735,-0.053776081651449203
0.26974555145735457,0.01832012815489715,0.01,-0.04392636972749751,-0.04737808555364609
0.2797223818062159,0.017639792803735798,0.01,-0.047377552272203215,-0.041399404406547546
0.2896990798721584,0.016957520350079042,0.01,-0.050363520586483655,-0.03582204133272171
0.2996758094000399,0.016275708112363965,0.01,-0.05291638350539535,-0.030628368258476257
